Fiscal Year,Ad Campaign Name,Agency,Org Ad Placed In (Agency submission),Org Ad Placed In (MOECM Standardized),Outlet Channel (Agency submission),Type of Media (MOECM),Language,Spend Amount,Vendor Name,Ad Placement Method,Quarter (MOECM),Ad Start Date,Ad End Date,Purpose
FY23,Summer Safety,ACS,ALHAWADETH,Al Hawadeth,Newspaper (Digital),Digital,Arabic,1918,Miller,Placement Vendor,Q1,08/10/2022,08/31/2022,Programmatic: Social Services & Benefits
FY23,Summer Safety,ACS,ALHAWADETH,Al Hawadeth,Newspaper (Digital),Digital,Arabic,785,Miller,Placement Vendor,Q1,09/01/2022,09/07/2022,Programmatic: Social Services & Benefits
FY23,Safe Sleep,ACS,ALHAWADETH,Al Hawadeth,Newspaper (Digital),Digital,Arabic,1111,Miller,Placement Vendor,Q2,10/03/2022,10/31/2022,Programmatic: Social Services & Benefits
FY23,Safe Sleep,ACS,ALHAWADETH,Al Hawadeth,Newspaper (Digital),Digital,Arabic,1032,Miller,Placement Vendor,Q3,01/02/2023,01/31/2023,Programmatic: Social Services & Benefits
FY23,Safe Sleep,ACS,ALHAWADETH,Al Hawadeth,Newspaper (Digital),Digital,Arabic,968,Miller,Placement Vendor,Q3,02/01/2023,02/28/2023,Programmatic: Public Health
FY23,YDS,ACS,Al Hawadeth,Al Hawadeth,Newspaper (Print),Print,Arabic,7740,Graystone,Placement Vendor,Q2,10/10/2022,11/09/2022,Recruitment
FY23,Child Protective Specialists,ACS,Al Hawadeth,Al Hawadeth,Newspaper (Print),Print,Arabic,5805,Graystone,Placement Vendor,Q2,10/30/2022,11/29/2022,Recruitment
FY23,Child Protective Specialists,ACS,Al Hawadeth,Al Hawadeth,Job Board,Other,Arabic,2580,Graystone,Placement Vendor,Q3,01/01/2023,01/31/2023,Recruitment
FY23,Child Protective Specialists,ACS,Al Hawadeth,Al Hawadeth,Newspaper (Digital),Digital,Arabic,41312,Graystone,Placement Vendor,Q3,03/01/2023,03/31/2023,Recruitment
FY23,YDS,ACS,Chalaman New York,Chalaman New York,Newspaper (Digital),Digital,Bengali,4500,Graystone,Placement Vendor,Q2,10/10/2022,11/09/2022,Recruitment
FY23,Child Protective Specialists,ACS,Chalaman New York,Chalaman New York,Newspaper (Digital),Digital,Bengali,3000,Graystone,Placement Vendor,Q2,10/30/2022,11/29/2022,Recruitment
FY23,Child Protective Specialists,ACS,Chalaman New York,Chalaman New York,Newspaper (Digital),Digital,Bengali,1500,Graystone,Placement Vendor,Q3,01/01/2023,01/07/2023,Recruitment
FY23,Child Protective Specialists,ACS,Chalaman New York,Chalaman New York,Newspaper (Digital),Digital,Bengali,1500,Graystone,Placement Vendor,Q3,02/01/2023,02/28/2023,Recruitment
FY23,Summer Safety,ACS,THIKANA,Thikana,Newspaper (Digital),Digital,Bengali,2050,Miller,Placement Vendor,Q1,08/10/2022,08/31/2022,Programmatic: Social Services & Benefits
FY23,Summer Safety,ACS,THIKANA,Thikana,Newspaper (Digital),Digital,Bengali,653,Miller,Placement Vendor,Q1,09/01/2022,09/07/2022,Programmatic: Social Services & Benefits
FY23,Safe Sleep,ACS,THIKANA,Thikana,Newspaper (Digital),Digital,Bengali,2000,Miller,Placement Vendor,Q2,10/03/2022,10/31/2022,Programmatic: Social Services & Benefits
FY23,Affordable Childcare Campaign,ACS,THIKANA,Thikana,Newspaper (Digital),Digital,Bengali,1288,Miller,Placement Vendor,Q2,10/24/2022,10/31/2022,Programmatic: Social Services & Benefits
