Permit_Type,ACCELA,Facility_Name,ADDRESS_ No,ADDRESS_St,BO,ZIP,Inspection_Date,Inspection_Type,# of PHH Violations,# of All Violations,# of Critical Violations,# of General Violations,DOCKET,Lat,Long,Community Board,Council District,Census tract,Boro-Block-Lot,BIN,NTA,NTA Code
Indoor,90900002,RIVERBANK STATE PARK AQUATICS FACILITY,,679 RIVERSIDE DRIVE,MA,10031,11/19/2022,Routine Inspection,,0,,,,40.827108,-73.95466,109,07,022900,1021010117,1090431,,MN04
Indoor,90000006,HOSTOS COMMUNITY COLLEGE,450,GRAND CONCOURSE,BX,10451,11/22/2022,Routine Inspection,,0,,,,40.817315,-73.927859,201,17,005100,2023430014,2090411,,BX39
Indoor,50130715,BROADWAY GYM HOLDINGS LLC,633,3rd Avenue,MA,10017,12/12/2022,Routine Inspection,0,1,1,0,15402-22S0,40.74991,-73.975061,106,04,008800,1013147502,1037174,,MN19
Indoor,50127316,ST. FRANCIS COLLEGE,388,BRIDGE ST,BK,11201,12/21/2022,Routine Inspection,,0,,,,40.691586,-73.985324,302,33,001100,3001527501,3397720,,BK38
Indoor,50126987,TAKE ME TO THE WATER AQUATICS INC.,1010,QUENTIN RD,BK,11223,12/05/2022,Routine Inspection,0,4,0,4,,40.607777,-73.96248,315,44,042000,3066660018,3177585,,BK25
Indoor,50058693,RIVERDALE COUNTRY SCHOOL INC,5250,FIELDSTON RD,BX,10471,09/28/2022,Routine Inspection,0,1,0,1,,40.899908,-73.901432,208,11,035100,2058363127,2100872,,BX22
Indoor,50059115,THE 200 AMSTERDAM AVENUE CONDOMINIUM,200,AMSTERDAM AVE,MA,10023,03/28/2022,Routine Inspection,0,1,0,1,,40.77678,-73.982987,107,06,015500,1011587508,1030358,,MN14
Indoor,50059860,WWG GREEN LLC,110,GREEN ST,BK,11222,02/02/2022,Routine Inspection,,0,,,,40.733521,-73.957062,301,33,056300,3025220016,3393882,,BK76
Outdoor,50059869,WHITE CROSS FISHING CLUB INC,750,CLARENCE AVE,BX,10465,08/09/2022,Routine Inspection,0,1,1,0,,40.830425,-73.81575,210,13,016000,2054810013,2078255,,BX52
Indoor,50060208,THE RESIDENTIAL SECTION OF 140 WEST STREET CONDOMINIUM,100,BARCLAY ST,MA,10007,10/20/2022,Routine Inspection,0,1,0,1,,40.714101,-74.012708,101,01,002100,1000847501,1001228,,MN24
Indoor,50060389,301 EAST 80TH REALTY LLC,301,E 80TH ST,MA,10075,12/15/2022,Routine Inspection,,0,,,,40.773983,-73.954443,108,05,013800,1015437503,1090305,,MN32
